date,open,high,low,close,gdelt_sentiment
2014-01-21,1.3556,1.3566,1.3517,1.3559,-0.24259421303868295
2014-01-22,1.3559,1.358,1.3535,1.3545,-0.035336474888026714
2014-01-27,1.3677,1.3712,1.3654,1.3673,-0.4014176484197378
2014-01-28,1.3672,1.3688,1.3629,1.3668,-0.040096447616815564
2014-01-29,1.3668,1.3683,1.3603,1.3662,-0.23649519868195057
2014-01-30,1.366,1.3665,1.3545,1.3554,-0.349720216045777
2014-01-31,1.3554,1.3567,1.3479,1.3487,0.037009493261575696
2014-02-03,1.3481,1.3534,1.3476,1.3526,-0.02779191266745329
2014-02-04,1.3526,1.3536,1.3492,1.3518,-0.020763901993632317
2014-02-05,1.3517,1.355,1.3498,1.3531,-0.009456103667616844
2014-02-06,1.3533,1.3617,1.349,1.3589,-0.3254250567406416
2014-02-07,1.3589,1.3639,1.3554,1.3631,0.014373183622956276
2014-02-10,1.3614,1.365,1.3614,1.3644,-0.22787079866975546
2014-02-11,1.3643,1.3682,1.3629,1.3637,-0.045717617496848106
2014-02-12,1.3638,1.3651,1.3562,1.3592,-0.23737388774752616
2014-02-13,1.3592,1.3691,1.3583,1.3678,0.06755122728645802
2014-02-14,1.3679,1.3713,1.3673,1.3691,-0.14407606469467282
2014-02-17,1.3707,1.3722,1.3692,1.3706,-0.023725337038437527
2014-02-18,1.3705,1.3766,1.3694,1.3757,-0.054790700972080233
2014-02-19,1.3756,1.3772,1.3726,1.3733,-0.1759770562251409
2014-02-20,1.3735,1.3762,1.3688,1.3717,0.006697400286793709
2014-02-21,1.3718,1.3755,1.3702,1.3736,-0.000985804945230484
2014-02-24,1.3732,1.3766,1.3708,1.3734,-0.2355764036377271
2014-02-25,1.3735,1.3763,1.3717,1.3744,-0.7028845697641373
2014-02-26,1.3744,1.3756,1.3661,1.3686,-0.31165571808815
2014-02-27,1.3685,1.3721,1.3642,1.3709,-0.007256500422954559
2014-02-28,1.3709,1.3823,1.3692,1.3797,0.12549436651170254
2014-03-03,1.3757,1.3792,1.3726,1.3734,-0.3000275306403637
2014-03-04,1.3734,1.3779,1.3721,1.374,0.014098919928073883
2014-03-05,1.3742,1.3744,1.371,1.3732,-0.20686077699065208
2014-03-06,1.3732,1.3871,1.3721,1.3859,0.09770112996920943
2014-03-07,1.3859,1.3913,1.3853,1.3873,-0.03536067483946681
2014-03-10,1.3871,1.3896,1.3862,1.3876,-0.2137862623979648
2014-03-11,1.3877,1.3877,1.3835,1.3858,0.02348750177770853
2014-03-12,1.3859,1.3913,1.3843,1.39,-0.5953914361695448
2014-03-14,1.387,1.3934,1.3847,1.3911,-0.03443538832167784
2014-03-17,1.3911,1.3945,1.388,1.3921,-0.2087144353426993
2014-03-18,1.3921,1.3936,1.3884,1.3933,-0.17466481663286687
2014-03-20,1.3819,1.3844,1.3751,1.3779,-0.438314079772681
2014-03-21,1.3779,1.381,1.3767,1.3793,-0.028774600476026535
2014-03-24,1.3798,1.3865,1.376,1.3837,-0.3871701642870903
2014-03-25,1.3837,1.3845,1.3754,1.3824,-0.1998366075567901
2014-03-26,1.3826,1.3827,1.3778,1.3784,-0.036730384454131126
2014-03-27,1.3786,1.3794,1.373,1.374,-0.08691080287098885
2014-03-28,1.374,1.3768,1.3706,1.3748,-0.20035252906382084
2014-03-31,1.3753,1.3804,1.3738,1.3773,-0.3831089710195859
2014-04-01,1.3773,1.3813,1.3769,1.3793,-0.36311197467148304
2014-04-02,1.3793,1.3817,1.3752,1.3764,-0.0460816603153944
2014-04-03,1.3765,1.3794,1.3699,1.3716,0.2127936314791441
2014-04-04,1.3717,1.3728,1.3675,1.3706,-0.3666257902979851
2014-04-07,1.37,1.3748,1.3695,1.3741,-0.1993802711367607
2014-04-08,1.3741,1.381,1.3738,1.3794,-0.38757091388106346
2014-04-09,1.3794,1.3858,1.378,1.3853,-0.13714903220534325
2014-04-10,1.3853,1.3898,1.3835,1.3887,-0.2529443476349115
2014-04-11,1.3887,1.3904,1.3864,1.3884,0.3425415065139532
2014-04-14,1.3856,1.3861,1.3809,1.3818,-0.015121751154462496
2014-04-15,1.3819,1.3832,1.3793,1.3812,-0.28064711081484955
2014-04-16,1.3812,1.3849,1.3804,1.3815,0.01909182360395789
2014-04-17,1.3815,1.3863,1.3811,1.3813,-0.34597466606646776
